category,title,question,group,url,contact,answer
獎助學金,TIGP-X Pilot Program,一位中研院研究人員每年可以獲得補助幾名博士生？,學術,https://dia.sinica.edu.tw/pages/3897,沈德修 02-27871412,一位中研院研究人員每年可以獲得補助一名博士生。
獎助學金,TIGP-X Pilot Program,如何確保在同一年度選擇合適的TIGP-X博士生？,學術,https://dia.sinica.edu.tw/pages/3897,沈德修 02-27871412,要確保同一年度選擇合適的TIGP-X博士生，建議研究人員在申請階段就要慎選學生，同時考慮學生的研究能力和合作研究計畫的需求。因為每個研究人員在同一年度只能獲得中研院核定補助一名TIGP-X博士生，所以要盡量選擇最適合計畫的學生。
獎助學金,TIGP-X Pilot Program,合作研究計畫的完成期限是怎麼規劃的？,學術,https://dia.sinica.edu.tw/pages/3897,沈德修 02-27871412,合作研究計畫的完成期限，如果有具體規劃的話，在申請時就需要說明。如果沒有具體規劃，則先申請一年，根據需求可以申請延長，最多延長到三年。
獎助學金,TIGP-X Pilot Program,如果沒有具體的完成期限，我們可以先申請一年嗎？,學術,https://dia.sinica.edu.tw/pages/3897,沈德修 02-27871412,對的，如果沒有具體完成期限，你們可以先申請一年，然後視需要再申請延長，最多延長到三年。
獎助學金,TIGP-X Pilot Program,TIGP-X博士生的延長申請最多可以延長幾年？,學術,https://dia.sinica.edu.tw/pages/3897,沈德修 02-27871412,TIGP-X博士生的延長申請最多可以延長三年。
獎助學金,TIGP-X Pilot Program,如果獲選成為TIGP-X博士生，遇到特殊情況無法按照原計劃來台，要怎麼辦？,學術,https://dia.sinica.edu.tw/pages/3897,沈德修 02-27871412,如果你獲選成為TIGP-X博士生，但因特殊情況無法按照原計劃來台，你需要重新提交申請文件進行審查喔。
獎助學金,TIGP-X Pilot Program,TIGP-X Pilot Program有哪兩種獎助內容呢？,學術,https://dia.sinica.edu.tw/pages/3899,沈德修 02-27871412,"TIGP-X Pilot Program有兩種獎助內容，一種是TIGP-X中研院獎學金國際博士生，中研院和中研院研究人員會支付每月34,000元和16,000元的獎學金。另一種是TIGP-X中研院國際博士生，獎學金由中研院研究人員自行支應，並需遵循「中央研究院獎助學金支給要點」的規範。在這個計畫中獲選的博士生都叫做TIGP-X博士生。"
獎助學金,TIGP-X Pilot Program,「TIGP-X中研院獎學金國際博士生」的獎學金分別由誰支付，金額是多少呢？,學術,https://dia.sinica.edu.tw/pages/3899,沈德修 02-27871412,"「TIGP-X中研院獎學金國際博士生」的獎學金是由中研院和中研院研究人員一起支付的，金額分別是每月新台幣34,000元和16,000元。"
獎助學金,TIGP-X Pilot Program,如果有特殊情形，申請時應該怎麼做呢？,學術,https://dia.sinica.edu.tw/pages/3899,沈德修 02-27871412,如果有特殊情形，你可以在申請時提出，讓審查委員會作為參考。
獎助學金,TIGP-X Pilot Program,「TIGP-X中研院國際博士生」的獎學金由誰支應，要遵循哪些規範呢？,學術,https://dia.sinica.edu.tw/pages/3899,沈德修 02-27871412,「TIGP-X中研院國際博士生」的獎學金是由中研院研究人員自己支應的，他們要遵循「中央研究院獎助學金支給要點」相關規範。
獎助學金,TIGP-X Pilot Program,在TIGP-X試行要點中獲選的博士生通稱為什麼呢？,學術,https://dia.sinica.edu.tw/pages/3899,沈德修 02-27871412,在TIGP-X試行要點中獲選的博士生通常稱為TIGP-X博士生。
獎助學金,TIGP-X Pilot Program,做為TIGP-X博士生，中研院會支付我的來回機票費用嗎？,學術,https://dia.sinica.edu.tw/pages/3900,沈德修 02-27871412,是的，成為TIGP-X博士生後，中研院會支付你一次來回台灣的經濟艙機票費用。但需要先預付機票款，來台後進行核銷。
獎助學金,TIGP-X Pilot Program,TIGP宿舍第一年的住宿費用呢？,學術,https://dia.sinica.edu.tw/pages/3900,沈德修 02-27871412,第一年住宿費用不用擔心，中研院會幫你安排自費入住TIGP宿舍。不過第一年過後，你得要請中研院的研究人員協助你找房子喔！
獎助學金,TIGP-X Pilot Program,之後的租屋要如何安排？,學術,https://dia.sinica.edu.tw/pages/3900,沈德修 02-27871412,之後的租屋安排會由中研院的研究人員協助你找房子喔。
獎助學金,TIGP-X Pilot Program,被選為TIGP-X博士生後，能繼續領取獎學金嗎？,學術,https://dia.sinica.edu.tw/pages/3900,沈德修 02-27871412,對的，獲選成為TIGP-X博士生後，在中研院進行研究期間仍然可以繼續領取自己學研機構的獎學金。不過，如果接受我國政府機構額外提供的獎學金，就需要遵循「中央研究院獎助學金支給要點」的相關規範。
獎助學金,TIGP-X Pilot Program,需要自己先垫付機票費用然後再核銷嗎？,學術,https://dia.sinica.edu.tw/pages/3900,沈德修 02-27871412,是的，獲選成TIGP-X博士生需先自行支付機票款，來台後再依中研院的核銷程序進行核銷，然後將款項匯入你的郵局帳戶。
獎助學金,TIGP-X Pilot Program,簽證和交通費用需要自己支付嗎？,學術,https://dia.sinica.edu.tw/pages/3900,沈德修 02-27871412,是的，簽證和交通費用需要自己支付，中研院不提供補助。不過中研院會協助辦理簽證相關事宜，並提供交通資訊。
獎助學金,TIGP-X Pilot Program,中研院會協助辦理簽證事宜和提供交通資訊嗎？,學術,https://dia.sinica.edu.tw/pages/3900,沈德修 02-27871412,對的，中研院會協助獲選的TIGP-X博士生處理簽證相關事宜，並提供從國內機場到TIGP宿舍的交通參考資訊。
獎助學金,TIGP-X Pilot Program,在中研院進行研究時，海外學校的學費是不是還要自己負責？,學術,https://dia.sinica.edu.tw/pages/3900,沈德修 02-27871412,是的，在中研院進行研究時，你要自己負責支付海外學校的學費。
獎助學金,TIGP-X Pilot Program,每年的研究進度報告要怎麼提交呢？,學術,https://dia.sinica.edu.tw/pages/3901,沈德修 02-27871412,每年的研究進度報告要先撰寫好，再經過雙邊指導老師的核可，之後提交給國際處。接著學術諮詢總會會對報告進行審查。若審查通過，才能順利取得下一年度的獎學金。
獎助學金,TIGP-X Pilot Program,完整的書面研究報告要在什麼時候交呢？,學術,https://dia.sinica.edu.tw/pages/3901,沈德修 02-27871412,完整的書面研究報告要在TIGP-X合作研究計畫完成返回學籍所在地前二周內交。
獎助學金,TIGP-X Pilot Program,如果我需要離境超過2星期，獎學金會怎麼發放？,學術,https://dia.sinica.edu.tw/pages/3901,沈德修 02-27871412,如果你需要離境超過2星期，獎學金將根據離境日數進行停發。也就是說，從你離境的那一天開始，獎學金就不會發放了。
獎助學金,TIGP-X Pilot Program,研究成果涉及智慧財產權該如何處理呢？,學術,https://dia.sinica.edu.tw/pages/3901,沈德修 02-27871412,研究成果如果涉及智慧財產權的話，要根據中研院的「科學技術研究發展成果歸屬及運用辦法」來處理。
獎助學金,TIGP-X Pilot Program,如果遇到違反學術倫理的情況，會有什麼樣的處理呢？,學術,https://dia.sinica.edu.tw/pages/3901,沈德修 02-27871412,如果遇到違反學術倫理的情況，會根據「中央研究院各級倫理委員會設置及作業要點」來進行處理。
獎助學金,TIGP-X Pilot Program,TIGP-X Pilot Program是如何跟國外學研機構進行研究合作的呢？,學術,https://dia.sinica.edu.tw/pages/3901,沈德修 02-27871412,TIGP-X Pilot Program在跟國外學研機構進行研究合作時，中研院的研究人員會去洽談合作對象，不一定要是已經簽署過MOU的機構。不過，如果學生所屬的系所覺得有需要簽MOU來配合TIGP-X計畫，那麼中研院研究人員所屬的所、中心也是可以具名簽署的。而這個計畫是適用在中研院的三大學術領域。
獎助學金,TIGP-X Pilot Program,簽署MOU是合作的必要條件嗎？,學術,https://dia.sinica.edu.tw/pages/3901,沈德修 02-27871412,簽署MOU不是合作的必要條件，但如果學生所屬的系所提出因應TIGP-X計畫而衍生MOU的必要性，中研院研究人員所屬的所、中心也可以具名簽署。
獎助學金,TIGP-X Pilot Program,這個計劃適用於哪三大學術領域呢？,學術,https://dia.sinica.edu.tw/pages/3901,沈德修 02-27871412,這個計劃適用於中研院的三大學術領域。
獎助學金,TIGP-X Pilot Program,TIGP-X Pilot Program 適用於哪些國籍的博士生呢？,學術,https://dia.sinica.edu.tw/pages/3902,沈德修 02-27871412,TIGP-X Pilot Program 適用於所有國籍的博士生，包括本國籍和外國籍，以及在國外大學就讀博士班的台灣籍學生。但是，港澳生因為每半年需出境一次，所以無法納入台灣的健保制度，權益相對較少。大陸籍學生則需要等待「大陸地區人民進入台灣地區許可辦法」放寬修正後才能適用。至於大陸、港、澳學校的學生，由於涉及政治敏感問題，中研院並不鼓勵申請，但如果申請案有助於合作研究，仍可視情況進行審查。
獎助學金,TIGP-X Pilot Program,港澳生在臺期間能否納入健保制度？,學術,https://dia.sinica.edu.tw/pages/3902,沈德修 02-27871412,港澳生在台期間無法納入健保制度，因為他們每半年需要出境一次，所以權益較其他外籍學生短缺。
獎助學金,TIGP-X Pilot Program,陸籍學生是否也適用本TIGP-X Pilot Program？,學術,https://dia.sinica.edu.tw/pages/3902,沈德修 02-27871412,陸籍學生目前還不能適用TIGP-X Pilot Program，需要等待「大陸地區人民進入臺灣地區許可辦法」修正放寬之後才能適用。
獎助學金,TIGP-X Pilot Program,申請TIGP-X Pilot Program的博士生是否可以來自大陸、港、澳的學校？,學術,https://dia.sinica.edu.tw/pages/3902,沈德修 02-27871412,TIGP-X Pilot Program原則上適用於任何國外大學，但大陸、港、澳學校因為涉及兩岸敏感的政治情勢，中研院並不鼓勵申請。不過，如果申請案能確實促進雙方合作研究，中研院也會視個案進行審查。
獎助學金,TIGP-X Pilot Program,當某些大學無法接受共同指導制度時，申請人是否可以擔任thesis committee member？,學術,https://dia.sinica.edu.tw/pages/3902,沈德修 02-27871412,是的，當某些大學無法接受共同指導制度時，申請人可以爭取擔任thesis committee member。只要有促進雙方實質合作的事實，應該能夠被接受。
獎助學金,TIGP-X Pilot Program,TIGP-X博士生的獎補助費可以用來支付申請人的指導費用嗎？,學術,https://dia.sinica.edu.tw/pages/3902,沈德修 02-27871412,是的，只要申請人有實質指導的事實，就可以用國科會計畫的獎補助費支付給TIGP-X博士生，而且國科會對於獎補助的學生身份不限制國籍。
獎助學金,TIGP-X Pilot Program,國科會獎補助對博士生身份有無國籍限制？,學術,https://dia.sinica.edu.tw/pages/3902,沈德修 02-27871412,國科會獎補助對博士生身份並沒有國籍限制喔。
獎助學金,TIGP-X Pilot Program,這個TIGP-X Pilot Program申請通過後，中研院和申請人的研究所/中心會提供哪些協助呢？,學術,https://dia.sinica.edu.tw/pages/3902,沈德修 02-27871412,申請通過後，中研院和申請人的研究所/中心會在入境前和入境後提供不同的協助。入境前，由國際處負責協助簽證事宜、宿舍預定、房費支付通知、提供交通資訊，以及入境後的機票款核銷。入境後，申請人所屬研究所/中心會協助辦理居留簽證換ARC、年度ARC更新、意外險申辦、健保、入籍，以及郵局戶頭申辦和搬出宿舍的租屋協助。
獎助學金,TIGP-X Pilot Program,入境前，國際處會如何協助獲選博士生處理簽證相關事宜？,學術,https://dia.sinica.edu.tw/pages/3902,沈德修 02-27871412,入境前，國際處會先寫信給獲選博士生所在地的外館，請他們協助辦理簽證相關事宜。
獎助學金,TIGP-X Pilot Program,宿舍的預定和房費支付等訊息是如何通知的？,學術,https://dia.sinica.edu.tw/pages/3902,沈德修 02-27871412,宿舍的預定和房費支付等相關訊息，會由國際處通知獲選的博士生。
獎助學金,TIGP-X Pilot Program,入境後，機票款的核銷流程是什麼？,學術,https://dia.sinica.edu.tw/pages/3902,沈德修 02-27871412,入境後，機票款的核銷流程是先由國際處來協助處理。
獎助學金,TIGP-X Pilot Program,我們在入境後需要更換居留簽證為ARC，申請人所屬的研究所/中心會提供什麼樣的協助？,學術,https://dia.sinica.edu.tw/pages/3902,沈德修 02-27871412,入境後，申請人所屬的研究所或中心會協助你辦理居留簽證更換為ARC的申辦程序，以及每年的ARC更新提醒和協助喔。
獎助學金,TIGP-X Pilot Program,入境後，如何協助申辦意外保險呢？,學術,https://dia.sinica.edu.tw/pages/3902,沈德修 02-27871412,入境後，申請人所屬的研究所或中心會協助他們辦理意外保險。
獎助學金,TIGP-X Pilot Program,如果入境超過183天，會提供哪些協助來申辦健保和入籍？,學術,https://dia.sinica.edu.tw/pages/3902,沈德修 02-27871412,入境超過183天後，研究所或中心會協助申請人辦理健康保險以及入籍手續。
獎助學金,TIGP-X Pilot Program,郵局戶頭的申辦流程會是怎樣的？,學術,https://dia.sinica.edu.tw/pages/3902,沈德修 02-27871412,入境後，申請人所屬的研究所或中心會協助你辦理郵局戶頭的申辦流程。
獎助學金,TIGP-X Pilot Program,在一年後搬出TIGP宿舍時，會有什麼租屋協助呢？,學術,https://dia.sinica.edu.tw/pages/3902,沈德修 02-27871412,在一年後搬出TIGP宿舍時，申請人所屬的研究所或中心會提供租屋協助，幫助你找到合適的住所。
